Timestamp,Select the age range that applies,In what region do you currently live / work?,What gender do you identify with?,How many years have you been a professional designer? (regardless of career level),"Before starting your design career, what was your primary academic or professional trajectory?",What is the highest level of design education you have completed?,When did you first consider design as a career path,"When you first considered design as a career path, what was your level of confidence in your decision?",How supportive were the people around you about pursuing design as career?,To what degree do you feel like you displayed natural qualities of leadership when you were growing up?,How would you describe your entry into design as a career?,"How much do you agree with the following statement: ""Someone actively invited or guided me into the design field (e.g., a mentor, professor, or peer).""",Was your first career job as a designer or in a different profession/industry?, How would you describe the scale of the first design team you worked in?, How would you describe the type of organization you first worked in as a designer?, How would you describe the design discipline / practice of your first professional design job?,What career level best describes your current position?,How long have you been in your current role?,What is the title of the person who you report to?,"When you began your current role, to what degree were you sufficiently onboarded or trained? ","As you've advanced in your career, how much have coaches, mentors, or sponsors influenced your journey? ","As you've advanced in your carer, have you received formal training in management or leadership? ",Which of the following have been major setbacks in your career [select all that apply],How many years into your career did you first hold a formal design leadership role? (i.e. managing people or leading a project/initiative),"In your current role, how many designers report up to you? (directly or indirectly)","Do you manage employees outside of design (i.e., engineers, product managers, etc)? If so, how many and what functions? ",Which factors have been most important to you advancing in your career as a design leader? [select at most 3],"In the next 5 years, how do you expect the global design industry to evolve?","In the next 5 years, how much do you expect your tool stack to change?","In the next 5 years, which direction best describes your intended career trajectory? ",How much are you actively investing in your own career aspirations?,How much are you actively developing successors or next-generation leaders in your team or org?,How many people have you mentored in the past 3 years? (rough estimate),"Outside of your primary role, are you currently engaged in any of the following? (Select all that apply)","If you'd like to be interviewed for the project as well, please leave your email."
3/6/2026 6:48:03,36-45,Europe,Female,23,Advertising ,I hold a Master's degree or higher in design.,Early career (0–3 years into a different field),4,5,5,A non-paid internship at Ogilvy Design,1,My first job was in a different profession / industry.,"Large, established design organization (21+)",Agency / Consultancy,"Brand Design, Graphic Design, Communication Design, Design Strategy, Exhibition Design, Point of sale",Senior IC / Principal designer,4,Digital Domain Manager ,3,5,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company, It’s been MANY years with several different challenges ",5,"I’m an IC, no reports but my domain team is made of 30 ppl, out of a wider 300 XD Department ",No ,"Relationships with key stakeholders, Business accumen, Aligning myself with key initiatives ",1,5,unsure,5,1,20,"Teaching or lecturing, Attending conferences and events, Mentoring or coaching (informal), Community organizing or design advocacy",
3/6/2026 6:49:26,46-55,Europe,Male,25,Business / Economics,I did not study design formally.,Early career (0–3 years into a different field),3,3,4,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),"Digital product Design, UI Design",VP level designer,1 week,Executive Vice President Experience and Innovation,3,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company",3,75,0,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",4,5,unsure,5,4,15,"Writing (blog, book, articles), Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/6/2026 7:35:12,36-45,Europe,Male,18,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,Early career (0–3 years into a different field),3,3,5,A natural continuation of what I'd always been doing,3,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),Graphic Design,Senior / Lead designer,8 years,Product Design Manager,5,4,4,"Lack of growth opportunities at my company, Burnout",10,0,no,"Proven business or user outcomes, Business accumen, Technical accumen",5,5,"start your own company (agency, startup, etc.)",5,3,4,"Writing (blog, book, articles), Mentoring or coaching (informal), Side projects or freelance work",
3/6/2026 7:54:10,46-55,Europe,Male,20,Natural Sciences,I did not study design formally.,Mid-career pivot (3+ years into a different field),3,4,4,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,"UX Research, UI Design, Service Design, Interaction Design, Design Strategy",Senior design manager (managing multiple teams),6 months,Senior VP of Design,4,5,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",9,10,no,"Proven business or user outcomes, Relationships with key stakeholders, Years of experience",4,5,advance to the next career level,3,2,20,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/6/2026 9:19:28,46-55,Europe,Male,25,Arts / Fine Arts / Humanities,I did not study design formally.,Early career (0–3 years into a different field),4,4,3,An unexpected opportunity I hadn't planned for,3,My first job was in a different profession / industry.,Mid-size team (6–20 designers),Agency / Consultancy,Digital product Design,Director level designer,8 months,Chief Design Officer,4,3,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company",6,14,8 - user researchers,"Proven business or user outcomes, Previous team size or headcount managed, Budget or scope of management",2,5,continue at current level,2,4,2,"Attending conferences and events, Mentoring or coaching (informal)",
3/6/2026 10:30:45,24-35,Europe,Female,15,Medical,I did not study design formally.,Early career (0–3 years into a different field),5,5,5,Natural circling back from teenage years doing it for fun,1,My first job was in a different profession / industry.,Small team (2–5 designers),Startup,"Digital product Design, Design Ops, Design Strategy",Director level designer,8 months,CPO,3,1,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",2,6,2 in brand and marketing ,"Proven business or user outcomes, Business accumen, Technical accumen",2,4,"start your own company (agency, startup, etc.)",5,4,10,"Writing (blog, book, articles), Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/6/2026 12:17:04,46-55,Europe,Male,26,Arts / Fine Arts / Humanities,I did not study design formally.,During graduate studies,4,4,3,An unexpected opportunity I hadn't planned for,5,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,Web design,Director level designer,10 years,VP of design,4,1,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Contracted design job market industry-wide",10,60,No,"Proven business or user outcomes, Previous team size or headcount managed, Sponsorship or advocacy from senior leaders",2,5,advance to the next career level,4,5,5,"Writing (blog, book, articles), Mentoring or coaching (informal), Side projects or freelance work, Social media / content creation",
3/6/2026 15:22:27,36-45,Europe,Male,20,I was always on a design-specific track,I hold a Master's degree or higher in design.,It was my childhood dream,5,3,1,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,Industrial Design,VP level designer,4 years,Head of product ,4,1,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",10,9,No,"Proven business or user outcomes, Budget or scope of management, Case studies with measurable business results",5,5,shift to a different professional discipline / business area,3,4,7,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Social media / content creation",
3/6/2026 17:03:52,46-55,Europe,Male,19,"Social Sciences (Psychology, Sociology, Anthropology)",I hold a Master's degree or higher in design.,Before college/university,5,1,5,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,"Large, established design organization (21+)",Corporate (In-house),"UX Research, UI Design, Industrial Design",VP level designer,1 year,Chief Digital Officer,3,1,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design",7,30,No,"Proven business or user outcomes, Case studies with measurable business results, Business accumen",2,4,unsure,4,1,3,"Writing (blog, book, articles), Teaching or lecturing, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Social media / content creation",
3/7/2026 1:35:16,46-55,Europe,Female,25,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,3,1,4,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Small team (2–5 designers),Freelance / Independent,"Graphic Design, Industrial Design, Service Design, Exhibition Design",Associate partner consulting,2 years,Partner,2,1,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",15,0,0,"Budget or scope of management, Case studies with measurable business results",2,5,unsure,4,1,50,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events",
3/7/2026 1:38:16,36-45,Europe,Female,19,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,3,2,4,A single defining moment or experience,5,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,Graphic Design,Senior design manager (managing multiple teams),4.5 years,Head of CX,1,3,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Burnout",9,14,-,"Proven business or user outcomes, Speaking at conferences or industry events, Sponsorship or advocacy from senior leaders",2,4,shift your career away from design completely,4,4,15,"Teaching or lecturing, Presenting at conferences or events, Mentoring or coaching (informal), Community organizing or design advocacy, Social media / content creation",
3/7/2026 16:39:48,46-55,Europe,Male,27,I was always on a design-specific track,I hold a degree in design from a community college.,Before college/university,3,3,1,A gradual accumulation of interests that reached a tipping point,1,My first job was as a designer.,Mid-size team (6–20 designers),Agency / Consultancy,"Brand Design, Digital product Design, UI Design, Communication Design, Interaction Design",Senior / Lead designer,2,Design Manager,3,2,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Project or product being cancelled, Lack of growth opportunities at my company, Contracted design job market industry-wide",17,18,No,"Proven business or user outcomes, Relationships with key stakeholders, Years of experience",3,4,continue at current level,2,4,5,"Mentoring or coaching (informal), Side projects or freelance work",
3/8/2026 7:44:59,36-45,Europe,Male,15,Architecture,I hold a Master's degree or higher in design.,It was my childhood dream,2,1,3,A gradual accumulation of interests that reached a tipping point,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Startup,"Graphic Design, Digital product Design, Industrial Design, Interior Design",Senior / Lead designer,Last 5 years,Head of Product,4,2,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Project or product being cancelled, Lack of growth opportunities at my company",5,3,2 Front-end engineers ,"Proven business or user outcomes, Case studies with measurable business results, Technical accumen",4,4,advance to the next career level,4,3,8,"Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup",
3/9/2026 8:22:02,24-35,Europe,Male,10,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,4,4,4,A natural continuation of what I'd always been doing,4,My first job was as a designer.,Solo designer (I was the only designer in the organization),Freelance / Independent,"Digital product Design, UI Design, Interaction Design",Senior IC / Principal designer,8 months,CEO,2,4,4,"Project or product being cancelled, Difficulty finding the right collaborators",6,0,0,"Relationships with key stakeholders, The jump to management happened because the Head of Design left and I was the most senior designer and interested",4,4,continue at current level,4,1,5,"Mentoring or coaching (informal), Side projects or freelance work",
3/9/2026 14:24:30,46-55,Europe,Male,25,Engineering / Computer Science,I hold a Master's degree or higher in design.,During undergraduate studies,3,3,4,A gradual accumulation of interests that reached a tipping point,4,My first job was as a designer.,Mid-size team (6–20 designers),Agency / Consultancy,Interaction Design,Director level designer,5 years,Chief Product Officer,1,2,3,"Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company",7,13,UX research and UX writing if that counts ,"Relationships with key stakeholders, Business accumen, Years of experience",4,5,shift to a different professional discipline / business area,3,3,10,"Writing (blog, book, articles)",
3/10/2026 6:17:57,56-65,Europe,Male,24,Arts / Fine Arts / Humanities,I did not study design formally.,It was my childhood dream,3,4,4,An unexpected opportunity I hadn't planned for,5,My first job was as a designer.,"Large, established design organization (21+)",Corporate (In-house),"Brand Design, Graphic Design, Digital product Design, UI Design, Interaction Design, Content Design",Senior IC / Principal designer,1.5 years,Director AI Partnerships,2,3,4,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout",3,0,no,"Proven business or user outcomes, Relationships with key stakeholders, Business accumen",2,4,shift to a different professional discipline / business area,4,2,6,"Teaching or lecturing, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work",
3/13/2026 10:08:34,36-45,Europe,Male,25,Engineering / Computer Science,I hold a Master's degree or higher in design.,During graduate studies,5,4,4,A pragmatic decision based on job prospects or circumstances,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Agency / Consultancy,"Brand Design, Graphic Design, Digital product Design, Editorial Design",Design manager (managing one team of designers),1 year,Director,2,4,3,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",10,4,0,"Proven business or user outcomes, Previous team size or headcount managed, Case studies with measurable business results",3,4,advance to the next career level,4,4,15,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Social media / content creation",
3/6/2026 2:54:07,46-55,Middle East,Female,20,Arts / Fine Arts / Humanities,I hold an undergraduate degree in design,During undergraduate studies,2,4,4,A gradual accumulation of interests that reached a tipping point,2,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Brand Design, Graphic Design, Communication Design",Senior design manager (managing multiple teams),3 years,CCO,1,4,5,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Lack of growth opportunities at my company",6,8,Yes,"Proven business or user outcomes, Previous team size or headcount managed, Case studies with measurable business results",3,5,shift to a different professional discipline / business area,5,3,50,"Writing (blog, book, articles), Attending conferences and events, Mentoring or coaching (informal), Social media / content creation",
3/6/2026 6:01:11,36-45,Middle East,Male,17,Engineering / Computer Science,I have a bootcamp certificate.,Mid-career pivot (3+ years into a different field),4,4,4,A gradual accumulation of interests that reached a tipping point,2,My first job was in a different profession / industry.,Small team (2–5 designers),Corporate (In-house),UI Design,Design manager (managing one team of designers),3 years,Service Line Leader,4,3,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure, Burnout",3,5,"Yes, 4 Maximo Consultants","Proven business or user outcomes, Case studies with measurable business results, Awards or recognition",4,5,advance to the next career level,3,5,20,"Teaching or lecturing, Presenting at conferences or events, Mentoring or coaching (informal)",
3/9/2026 20:07:00,36-45,Europe,Male,10,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,4,5,3,A gradual accumulation of interests that reached a tipping point,3,My first job was as a designer.,Small team (2–5 designers),Startup,UI Design,Senior / Lead designer,2 years,N/A,4,3,2,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Under-compensation or financial pressure",6,4,2,"Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Years of experience",4,3,advance to the next career level,4,3,10,"Writing (blog, book, articles), Mentoring or coaching (informal), Side projects or freelance work","I'd prefer not to share.   Btw random tip, surveyswap.io was a lifesaver for finding respondents, and it's free. Anyway, good luck!"
3/5/2026 15:33:14,46-55,North America,Female,23,I was always on a design-specific track,I hold a Master's degree or higher in design.,During undergraduate studies,5,5,4,A single defining moment or experience,5,My first job was as a designer.,"Large, established design organization (21+)",Corporate (In-house),Industrial Design,Partner (consulting / design services),4 days!,Chief design officer,3,4,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Burnout",3,3,"Not now but have done in my past role whic involved charge mgt responsibilities as well as a design system. My team of 80 was about half design, half Eng, and a few PM’s","Proven business or user outcomes, Sponsorship or advocacy from senior leaders, Business accumen",4,5,retirement,4,4,30,"Attending conferences and events, Mentoring or coaching (informal)",
3/5/2026 15:45:28,56-65,North America,Male,25,I was always on a design-specific track,I hold an undergraduate degree in design,Before college/university,3,5,4,An unexpected opportunity I hadn't planned for,1,My first job was in a different profession / industry.,Mid-size team (6–20 designers),Agency / Consultancy,"Brand Design, Graphic Design, Communication Design, Environmental/store design",Director level designer,Less than a year ,Vice president of marketing communications ,5,5,4,"Non-design (product, engineering, etc.) team members / leaders not supporting design",10,12,No,"Proven business or user outcomes, Years of experience, Technical accumen",3,4,continue at current level,3,4,30,"Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal)",
3/5/2026 15:45:54,46-55,North America,Male,25,I was always on a design-specific track,I hold an undergraduate degree in design,During undergraduate studies,5,5,5,A gradual accumulation of interests that reached a tipping point,5,My first job was as a designer.,Small team (2–5 designers),Agency / Consultancy,"Graphic Design, Interaction Design, Motion Design",Director level designer,9 months,Studio Principal,3,5,5,"Under-compensation or financial pressure, Lack of growth opportunities at my company",10,3,no,"Published writing or thought leadership, Business accumen, Years of experience",1,5,advance to the next career level,3,3,30,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Community organizing or design advocacy, Social media / content creation",
3/5/2026 16:51:32,46-55,North America,Male,28,I was always on a design-specific track,I hold a Master's degree or higher in design.,Before college/university,5,5,5,A natural continuation of what I'd always been doing,5,My first job was as a designer.,Solo designer (I was the only designer in the organization),Academic,"UX Research, UI Design, Interaction Design",Senior design manager (managing multiple teams),"I was laid off in January. At that time, I had been in my role about 5 years.",Director of Design,1,3,1,"Layoffs / Contraction at my company, Lack of growth opportunities at my company",17,11,2 engineers supporting design system,"Previous team size or headcount managed, Sponsorship or advocacy from senior leaders, Ability to speak to/demonstrate my knowledge and past experience",3,5,advance to the next career level,5,3,25,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Side projects or freelance work, Community organizing or design advocacy",
3/5/2026 16:52:01,46-55,North America,Male,30,Arts / Fine Arts / Humanities,I did not study design formally.,Before college/university,5,4,5,A natural continuation of what I'd always been doing,1,My first job was as a designer.,Solo designer (I was the only designer in the organization),NGO / Non-profit,"Digital product Design, Content Design, Editorial Design",Advisor / Mentor,4 years,N/A,1,3,1,"Layoffs / Contraction at my company, Project or product being cancelled, Lack of growth opportunities at my company, Studio partner ran our business into the ground",2,N/A but 40+ at most when I was employed,I have done so several times,"Published writing or thought leadership, Relationships with key stakeholders, Business accumen",1,5,shift your career away from design completely,5,5,75,"Writing (blog, book, articles), Teaching or lecturing, Attending conferences and events, Presenting at conferences or events, Mentoring or coaching (informal), Side projects or freelance work, Building a company or startup, Community organizing or design advocacy",
3/5/2026 16:55:06,65+,North America,Male,20,Business / Economics,I have a bootcamp certificate.,Mid-career pivot (3+ years into a different field),4,4,4,An unexpected opportunity I hadn't planned for,4,My first job was in a different profession / industry.,"Large, established design organization (21+)",Corporate (In-house),Design Ops,Director level designer,2,Vp,4,4,4,Layoffs / Contraction at my company,15,20,150,Proven business or user outcomes,4,4,retirement,3,4,4,Social media / content creation,
3/5/2026 17:02:02,46-55,North America,Male,30+,Visual FX and Post Production for Film and TV,I did not study design formally.,Mid-career pivot (3+ years into a different field),5,5,3,A pragmatic decision based on job prospects or circumstances,1,My first job was in a different profession / industry.,Solo designer (I was the only designer in the organization),Freelance / Independent,"Brand Design, Graphic Design, Motion Design",Design Founder,18 months,NA,5,1,1,"Non-design (product, engineering, etc.) team members / leaders not supporting design, Layoffs / Contraction at my company, Project or product being cancelled",10,None,No,"Relationships with key stakeholders, Years of experience, Technical accumen",2,5,"start your own company (agency, startup, etc.)",5,3,20,"Mentoring or coaching (informal), Building a company or startup, Social media / content creation",
3/5/2026 17:09:24,56-65,North America,Male,31,Marketing,I did not study design formally.,During undergraduate studies,5,2,2,An unexpected opportunity I hadn't planned for,2,My first job was in a different profession / industry.,Small team (2–5 designers),Agency / Consultancy,Graphic Design,Project Manager,2 months,Program Director of Product Management,4,5,4,"Under-compensation or financial pressure, Lack of growth opportunities at my company, Burnout, career transition",15,0,0,"Speaking at conferences or industry events, Published writing or thought leadership, Sponsorship or advocacy from senior leaders",1,5,I already shifted from design to have flexibility on job choices,4,3,80,"Writing (blog, book, articles), Mentoring or coaching (informal), Design guild leader",
